Method	Functional Description
               Calendar对象将指定参数设置为给定的 
               java.sql.Date值。
getTypeVariables	返回此可执行文件的正式类型参数声明的类型变量。
treeWillExpand	每当树中的节点即将展开时调用。
loadInstruments	从指定的 
               Soundbank加载指定补丁引用的仪器。
indexOfTab	返回具有给定图标的第一个选项卡索引，如果没有选项卡具有此图标则返回-1
tailMap	返回此映射的部分视图，其键大于（或等于，如果 
               inclusive为真） 
               fromKey 。
get	相对 
               get方法。
from	从时态对象获得 
               ChronoZonedDateTime的实例。
resolveEntity	实现EntityResolver 。
regexFilter	返回一个使用正则表达式确定哪些条目要包含的行过滤器
getType	按名称空间名称查找属性的类型。
setEnabledAt	设置索引处的选项卡是否启用
allNotesOff	关闭此频道上当前正在发声的所有音符。
icSigSpaceECLR	ICC配置文件颜色空间类型签名：'ECLR'。
compile	编译XPath表达式以供以后评估。
parse	已过时。
deriveMMFont	根据详细的度量标准信息创建多主字体的新实例。
setValue	设置渲染此组件的外观和感觉对象
valueChanged	当行选择变化时调用，重绘以显示新的选择
editorBorderInsets	边界插入。
baseWireHandle	要分配的第一个电线手柄。
getContainer	获取 
               java.awt.Container与此相关 
               BeanContext 。
close	关闭此流并释放与其关联的所有系统资源。
getCurrentServiceSelectors	通过在底层BeanContextServiceProvider上调用getCurrentServiceSelectors（），获取指定服务的服务相关服务参数（服务选择器）列表。
whenCompleteAsync	返回一个新的CompletionStage，其结果或异常与此阶段相同，在此阶段完成时使用提供的Executor执行给定的操作。
isRollover	表示鼠标位于按钮上方。
isNamespace	一个实用程序函数，用于检查此事件是否为命名空间。
getStartOffset	获取突出显示的起始模型偏移量。
getMinimum	返回最小可接受值。
put	相对批量 
               放置方法 
               （可选操作） 。
setValue	改变该模型的当前值，通常该值由所显示的 
               editor一个的一部分 
               JSpinner 。
getSQLXML	以Java编程语言中 
               java.sql.SQLXML对象的形式检索指定的 
               SQL XML参数的值。
getBounds2D	返回过滤后目标光栅的边界框
remove	从此弹出菜单中移除指定索引处的组件
addLayoutComponent	使用指定的约束对象将指定的组件添加到布局中。
getKeyStroke	返回给定数字键码和一组修饰符的键击的共享实例
get	绝对 
               获取方法。
eras	获取年表的时代列表。
getMessage	返回有关完成的信息性消息。
getLastElementChild	返回对元素的最后一个子节点的引用，该节点是Element类型。
appletResize	已过时。
thumbnailPassStarted	报告当前缩略图读取操作即将开始逐步传递。
printJobFailed	被叫通知客户端作业未能成功完成，必须重新提交。
setDefaultLightWeightPopupEnabled	设置轻量级弹出启用属性的默认值
getAlphaRaster	为具有支持单独空间alpha通道的颜色模型对象的缓冲图像对象返回代表alpha通道的可写栅格，例如组件颜色模型和直接颜色模型
insertElementAt	在特定索引处添加项目。
removeEntries	从此大小序列中移除一组连续的条目
getFontMetrics	获取此对象的 
               FontMetrics 。
filter	将源栅格转换并将结果存储在目标栅格中
getValue	按名称空间名称查找属性的值。
getAttributeNode	按名称检索属性节点。
cancelQuit	通知外部退出请求者用户已明确取消挂起的退出，并使应用程序保持运行。
getGreenMask	返回一个掩码，指示整数像素表示中哪些位包含绿色组件
getLowerBounds	返回一个 
               Type对象的数组，表示此类型变量的下限。
serialVersionUID	设置的类指纹，用于指示与该类的先前版本的序列化兼容性。
of	返回包含七个元素的不可修改列表。
contains	如果此set包含指定的元素，则返回 
               true 。
getColumns	返回文本区域中的列数
runAfterBothAsync	返回一个新的CompletionStage，当此和另一个给定阶段都正常完成时，使用提供的执行程序执行给定的操作。
getLength	列表中的节点数。
getNamespaceContext	返回当前位置的只读命名空间上下文。
getDayOfWeek	获取星期几字段，即枚举 
               DayOfWeek 。
paletteTitleHeight	调色板标题的高度。
getNamespacePrefix	返回在索引处声明的命名空间的前缀。
icHdrAttributes	ICC配置文件头位置：设备属性。
matchPublic	尝试通过publicId在目录中查找匹配的条目。
insertString	在序列中插入一串字符。
and	返回一个组合谓词，表示此谓词和另一个谓词的短路逻辑AND。
windowGainedFocus	当Window设置为焦点窗口时调用，这意味着Window或其子组件之一将接收键盘事件。
icHdrSize	ICC配置文件头位置：配置文件大小（字节）。
makeVisible	确保路径标识的节点当前可见
toEpochSecond	将此日期时间转换为1970-01-01T00：00：00Z纪元的秒数。
getChildrenRemoved	获取从给定父元素中删除的子元素。
isStatic	返回这是否是静态依赖项。
getValue	获取属性值。
createDocumentFragment	创建一个空的 
               DocumentFragment对象。
setRowMapper	这被重写为不做任何事情；空选择模型不允许选择
getBundle	返回给定包名称和语言环境的 
               ResourceBundle 。
isAttributeSpecified	返回一个布尔值，指示默认情况下是否创建了此属性
withDayOfMonth	返回此 
               ZonedDateTime的副本，并更改日期。
dispatchInputMethodEvent	从给定的参数创建输入法事件并将其分派给客户组件
withYear	返回此 
               YearMonth的副本，并更改年份。
removeUpdate	提供已删除文档的一部分的通知。
icSigNamedColorClass	ICC配置文件类签名：'nmcl'。
printFiles	当要求应用程序打印文件列表时调用。
setBinaryStream	将指定参数设置为给定输入流。
thenComparing	返回带有另一个比较器的字典顺序比较器。
paramString	返回此JTextPane的字符串表示
sizeColumnsToFit	自Java 2平台v1.4起已过时
putAll	将给定的 
               Map中的所有映射添加到此 
               Bindings 。
addPrintJobListener	为此打印作业期间发生的事件注册监听器。
pollFirstEntry	删除并返回与此映射中的最小键关联的键 - 值映射，如果映射为空，则 
               null 。
textValueChanged	在文本值发生更改时调用。
toString	返回总结此缓冲区状态的字符串。
update	使用指定的字节数组更新当前校验和。
getViewportBorder	返回围绕视口的边框对象
setNegativePermissions	不推荐使用，要删除：此API元素将在以后的版本中删除。
mapRenderContext	将操作的输出RenderContext映射到每个操作源的RenderContext。
applyAsDouble	将此函数应用于给定的参数。
now	从指定时区的系统时钟获取当前年月。
getIconWidth	返回图标的宽度。
getPrintService	确定此打印作业对象绑定到的PrintService对象。
getViewportBorderBounds	自JDK版本Swing1.1起已过时，被JScrollPane getViewportBorderBounds替换
icCurveCount	ICC配置文件常量：curveType计数。
getAnnotatedOwnerType	如果此类型表示嵌套类型，则返回此类型所属的潜在注释类型。
